{'temperature': 75.22, 'humidity': 50.48, 'pressure': 1000.59}
{'temperature': 75.24, 'humidity': 50.22, 'pressure': 1000.61}
{'temperature': 75.24, 'humidity': 50.28, 'pressure': 1000.62}
{'temperature': 75.2, 'humidity': 50.29, 'pressure': 1000.58}
{'temperature': 75.2, 'humidity': 50.28, 'pressure': 1000.6}
{'temperature': 75.2, 'humidity': 50.27, 'pressure': 1000.6}
{'temperature': 75.2, 'humidity': 50.25, 'pressure': 1000.62}
{'temperature': 75.2, 'humidity': 50.25, 'pressure': 1000.63}
{'temperature': 75.2, 'humidity': 50.22, 'pressure': 1000.63}
{'temperature': 75.2, 'humidity': 50.22, 'pressure': 1000.61}
{'temperature': 75.25, 'humidity': 50.2, 'pressure': 1000.64}
{'temperature': 75.25, 'humidity': 50.16, 'pressure': 1000.66}
{'temperature': 75.27, 'humidity': 50.09, 'pressure': 1000.65}
{'temperature': 75.25, 'humidity': 50.1, 'pressure': 1000.66}
{'temperature': 75.27, 'humidity': 50.11, 'pressure': 1000.67}
{'temperature': 75.34, 'humidity': 49.93, 'pressure': 1000.63}
{'temperature': 75.34, 'humidity': 49.92, 'pressure': 1000.6}
{'temperature': 75.34, 'humidity': 49.92, 'pressure': 1000.59}
{'temperature': 75.34, 'humidity': 49.92, 'pressure': 1000.59}
{'temperature': 75.34, 'humidity': 49.87, 'pressure': 1000.61}
{'temperature': 74.84, 'humidity': 48.58, 'pressure': 1006.13}
{'temperature': 74.84, 'humidity': 48.59, 'pressure': 1006.14}
{'temperature': 74.82, 'humidity': 48.62, 'pressure': 1006.16}
{'temperature': 74.8, 'humidity': 48.64, 'pressure': 1006.17}
{'temperature': 74.8, 'humidity': 48.68, 'pressure': 1006.17}
{'temperature': 74.8, 'humidity': 48.68, 'pressure': 1006.17}
{'temperature': 74.8, 'humidity': 48.66, 'pressure': 1006.17}
{'temperature': 74.84, 'humidity': 48.65, 'pressure': 1006.13}
{'temperature': 74.88, 'humidity': 48.64, 'pressure': 1006.17}
{'temperature': 74.86, 'humidity': 48.64, 'pressure': 1006.13}
{'temperature': 74.86, 'humidity': 48.64, 'pressure': 1006.14}
{'temperature': 74.62, 'humidity': 48.99, 'pressure': 1006.13}
{'temperature': 74.62, 'humidity': 49.0, 'pressure': 1006.16}
{'temperature': 74.64, 'humidity': 49.01, 'pressure': 1006.15}
{'temperature': 74.62, 'humidity': 49.03, 'pressure': 1006.15}
{'temperature': 74.64, 'humidity': 49.04, 'pressure': 1006.16}
{'temperature': 74.62, 'humidity': 49.04, 'pressure': 1006.16}
{'temperature': 74.62, 'humidity': 49.04, 'pressure': 1006.19}
{'temperature': 74.62, 'humidity': 49.03, 'pressure': 1006.17}
{'temperature': 74.61, 'humidity': 49.05, 'pressure': 1006.19}
